u,g,r,i,z,gaia_g,bp,rp
16.7465,15.7693,15.4677,15.3573,15.3474,15.46258,15.7235,15.03424
17.8529,16.9295,16.6303,16.5345,16.5325,16.63375,16.88878,16.22479
17.7323,16.786,16.4651,16.3162,16.281,16.43899,16.73077,15.98937
17.8629,17.0703,16.7068,16.6034,16.541,16.75306,17.00916,16.26852
16.2019,15.2611,14.9435,14.8387,14.8161,14.94118,15.2087,14.50904
17.3239,16.4071,16.1345,16.0313,16.0026,16.11222,16.36164,15.68841
17.3567,16.3696,15.9617,15.7984,15.7183,15.95315,16.27153,15.44766
17.006,15.9644,15.56305,15.41894,15.37192,15.56733,15.87866,15.08252
16.1512,15.262,15.0049,14.8817,14.8955,14.97653,15.22019,14.5686
17.24,16.3012,16.0143,15.9117,15.8633,16.0108,16.27253,15.58293
16.7666,15.844,15.5158,15.3419,15.3105,15.46205,15.73842,15.0183
17.1559,16.2243,15.9459,15.8524,15.8371,15.93114,16.17919,15.53143
17.24386,16.31997,16.01652,15.87216,15.8377,16.00646,16.24422,15.50299
17.7701,16.7106,16.3545,16.2158,16.1709,16.35269,16.64399,15.89654
17.3618,16.45196,16.19744,16.07214,16.05908,16.1579,16.40565,15.73384
17.6457,16.7461,16.3719,16.1785,16.1313,16.35035,16.65378,15.87396
17.5191,16.6626,16.4283,16.3263,16.3808,16.40845,16.62967,16.02246
16.91831,16.04484,15.75712,15.62654,15.61231,15.73334,15.98498,15.31018
17.1379,16.2591,16.0262,15.9177,15.9467,16.0064,16.23697,15.61927
17.78662,16.82555,16.4813,16.34248,16.32418,16.46835,16.74577,16.01037
17.2401,16.3028,15.9531,15.8467,15.8137,15.97059,16.23815,15.52574
17.6349,16.695,16.4209,16.2911,16.2803,16.40296,16.67078,15.97487
18.5102,17.5823,17.2332,17.0897,17.036,17.23368,17.54699,16.77752
17.5045,16.5126,16.1365,16.0333,15.9485,16.14533,16.44594,15.67875
18.3519,17.4377,17.1323,16.9853,16.9429,17.10042,17.36855,16.65736
18.5054,17.4789,17.0952,16.8992,16.8041,17.07184,17.40694,16.54946
17.3142,16.3304,16.0082,15.8875,15.8496,15.99642,16.27421,15.54742
18.3105,17.3044,16.9701,16.822,16.7438,16.95801,17.24088,16.48799
17.6279,16.7248,16.4473,16.3502,16.3596,16.43908,16.69264,16.03012
16.2665,15.2877,14.946,14.817,14.7895,14.94496,15.22728,14.49289
17.8624,16.8726,16.5435,16.4338,16.4069,16.53635,16.80698,16.09865
17.0533,16.1199,15.7346,15.5595,15.495,15.71359,16.02767,15.22044
17.13144,16.22988,15.84241,15.71482,15.6537,15.84229,16.13714,15.37723
16.3932,15.3966,15.0666,14.9568,14.9204,15.0604,15.32998,14.62511
17.41656,16.31075,16.02008,15.92503,15.90038,16.07111,16.36002,15.61707
17.2733,16.281,15.8944,15.7164,15.6569,15.87161,16.19171,15.37147
17.2378,16.3184,15.9977,15.8962,15.9038,16.00394,16.25633,15.57842
17.4928,16.5148,16.1637,16.0594,15.9885,16.15964,16.44029,15.70651
16.9127,15.9569,15.6111,15.4877,15.4267,15.62682,15.8701,15.09175
17.43587,16.46832,16.16842,16.08151,16.09977,16.18594,16.44522,15.75789
17.0241,16.0589,15.6865,15.5806,15.545,15.67815,15.95592,15.23746
17.9207,17.0031,16.7078,16.6425,16.5823,16.70541,16.94327,16.29468
17.0016,16.04597,15.75245,15.62511,15.6271,15.7352,15.99105,15.30917
17.0523,16.236,15.9243,15.8765,15.8285,15.91638,16.16103,15.50893
17.9619,17.0889,16.7383,16.6021,16.5799,16.73186,17.00109,16.27691
16.509,15.5539,15.2031,15.0609,15.0073,15.19838,15.49347,14.72612
18.4455,17.5622,17.1598,16.984,16.9668,17.15168,17.45728,16.66105
17.2395,16.2525,15.8956,15.7329,15.6682,15.86912,16.17851,15.38628
18.0477,17.1306,16.8817,16.7788,16.7462,16.86616,17.10877,16.47149
18.7411,17.6674,17.2241,17.0405,16.9308,17.22239,17.59174,16.68992
18.3884,17.3771,16.9741,16.8317,16.7948,16.98576,17.29112,16.50668
17.96788,17.02896,16.65523,16.43781,16.35306,16.63906,16.93549,16.1048
17.56,16.6182,16.3311,16.2101,16.1792,16.30932,16.56947,15.88003
17.9513,17.0413,16.7682,16.6737,16.6845,16.75962,17.00488,16.34823
18.0756,17.1502,16.7536,16.6483,16.6314,16.77991,17.05385,16.34468
17.3835,16.5594,16.2142,16.1012,16.0856,16.20319,16.46801,15.7624
16.4029,15.4871,15.1761,15.0574,15.0053,15.16756,15.43722,14.72396
18.5451,17.5937,17.2377,17.1531,17.0962,17.23257,17.51211,16.78423
18.2394,17.3418,17.0166,16.8922,16.8424,17.00653,17.27335,16.57218
17.4715,16.501,16.172,16.0705,16.0361,16.16356,16.438,15.71759
16.4187,15.5336,15.3049,15.2353,15.2267,15.27669,15.50941,14.88608
18.0917,17.0194,16.6099,16.4689,16.3969,16.62171,16.95873,16.11313
17.9105,17.0099,16.7198,16.5924,16.6099,16.67719,16.95004,16.25099
17.8142,16.8871,16.5827,16.4531,16.4277,16.56108,16.8356,16.11819
17.1451,16.2048,15.9111,15.7822,15.7621,15.88028,16.14134,15.44149
